序號,日期,公司,注音,紀念品,徵求人(格式一)
06319,2017/06/22,六福,ㄌ,玻璃壺,台新銀
06320,2017/06/22,泰山,ㄊ,康寧餐盤,元大證
06321,2017/06/22,台郡,ㄊ,洗衣精500g,智聯投資
06322,2017/06/22,福懋油3,ㄈ,無,群益金鼎
06323,2017/06/22,麗嬰房,ㄌ,嬰兒洗衣精,凱基證
06324,2017/06/22,瑞利,ㄖ,全家50元,永豐金
06325,2017/06/22,豐藝,ㄈ,香皂,陳澄芳
06326,2017/06/22,新日興,ㄒ,香皂,台新銀
06327,2017/06/22,利華,ㄌ,香皂3入,中信託
06328,2017/06/22,漢磊,ㄏ,除臭劑,永豐金
06329,2017/06/22,益登,ㄧ,全家50元,群益金鼎
06330,2017/06/22,東華,ㄉ,環保筷,康和證
06331,2017/06/22,協易機,ㄒ,全家50元,福邦證
06332,2017/06/22,智冠,ㄓ,遊戲軟體,元大銀行
06333,2017/06/22,宏致,ㄏ,傳輸線,國票證
06334,2017/06/22,東捷,ㄉ,7-11 50元,宏遠證
06335,2017/06/22,達邁,ㄉ,全家50元,群益金鼎
06336,2017/06/22,佶優1,ㄐ,無,富邦證
06337,2017/06/22,迎輝,ㄧ,全家50元,台新銀
06338,2017/06/22,晟鈦3,ㄔ,無,元大銀行
06339,2017/06/22,晶彩科,ㄐ,小米燈,永豐金
06340,2017/06/22,居易,ㄐ,全家35元,台新銀
06341,2017/06/22,穆拉德,ㄇ,牙膏,元大證
06342,2017/06/22,地球,ㄉ,膠帶,永豐金
06343,2017/06/22,聚鼎,ㄐ,旅行收納袋,凱基證
06344,2017/06/22,光環,ㄍ,全家50元,元大證
06345,2017/06/22,漢科,ㄏ,指甲剪,凱基證
06346,2017/06/22,台蠟,ㄊ,7-11 50元,康和證
06347,2017/06/22,邦特,ㄅ,環保餐具組,統一證
06348,2017/06/22,友威科,ㄧ,陶瓷刀組,中信託
06349,2017/06/22,茂訊,ㄒ,零錢包,宏遠證
06350,2017/06/22,天宇,ㄊ,7-11 35元,福邦證
06351,2017/06/22,上奇,ㄕ,全家50元,許承強
06352,2017/06/22,緯軟,ㄨ,全家50元,凱基證
06353,2017/06/22,逸昌,ㄧ,全家50元,日盛證
06354,2017/06/22,通訊-KY,ㄊ,全家50元,凱基證
06355,2017/06/22,華義,ㄏ,全家50元,鄧雲龍
06356,2017/06/23,中鴻1,ㄓ,無,凱基證
06357,2017/06/23,新興,ㄒ,料理器,中信託
06358,2017/06/23,光罩,ㄍ,香皂禮盒,日盛銀
06359,2017/06/23,中福,ㄓ,7-11咖35,元大銀行
06360,2017/06/23,高力,ㄍ,7-11 50元,富邦證
06361,2017/06/23,單井,ㄉ,7-11 50元,永豐金
06362,2017/06/23,科納-KY,ㄎ,全家88元,永豐金
06363,2017/06/26,華映,ㄏ,玻璃保鮮盒,中信託
06364,2017/06/26,矽統,ㄒ,日式小缽,中信託
06365,2017/06/26,中天,ㄓ,頂級四物鐵,元富證
06366,2017/06/26,建漢,ㄐ,不鋼餐具組,福邦證
06367,2017/06/26,文曄,ㄨ,全家50元,鄭文宗
06368,2017/06/26,類比科,ㄌ,洗衣粉或香皂,劉紹宗
06369,2017/06/26,僑威,ㄑ,USB車充器,日盛證
06370,2017/06/26,英格爾,ㄧ,7-11 50元,宏遠證
06371,2017/06/26,金利1,ㄐ,無,永豐金
06372,2017/06/26,寶一,ㄅ,全家50元,華南永昌
06373,,,,,
06374,2017/06/26,日馳1,ㄖ,無,日盛證
06375,2017/06/26,天良,ㄊ,洗面乳,華南永昌
06376,2017/06/26,昇銳,ㄕ,全家35元,群益金鼎
06377,2017/06/27,中美晶,ㄓ,珊瑚絨毯,中信託
06378,2017/06/28,台泥,ㄊ,環保餐具組,凱基證
06379,2017/06/27,味全,ㄨ,貝納頌咖啡,元大銀行
06380,2017/06/26,德宏,ㄉ,原子筆1支,亞東證
06381,2017/06/27,首利,ㄕ,usb傳輸線,福邦證
06382,2017/06/26,富圓采,ㄈ,全家50元,台新銀
06383,2017/06/27,新復興,ㄒ,全家50元,張永正
06384,2017/06/26,欣技,ㄒ,7-11 35元,元大銀行
06385,2017/06/27,大東,ㄉ,牙膏,群益金鼎
06386,2017/06/26,中興電,ㄓ,手工香皂,永豐金
06387,2017/06/27,通嘉,ㄊ,7-11 30元,日盛銀
06388,2017/06/26,昱泉,ㄩ,洗衣精一罐,富邦證
06389,2017/06/27,F-IET(英特磊),ㄧ,全家50元,永豐金
06390,2017/06/28,台開,ㄊ,鍋寶悶燒罐,日盛證
